type,word
verb,absorbing
verb,analyzing
verb,applying
verb,arranging
verb,asking
verb,assessing
verb,attending
verb,brainstorming
verb,calculating
verb,categorizing
verb,checking
verb,clarifying
verb,collaborating
verb,collecting
verb,completing
verb,comprehending
verb,concentrating
verb,concluding
verb,constructing
verb,consulting
verb,contemplating
verb,contributing
verb,cramming
verb,creating
verb,debating
verb,deciding
verb,defining
verb,deliberating
verb,demonstrating
verb,describing
verb,developing
verb,digesting
verb,discussing
verb,dissecting
verb,distributing
verb,documenting
verb,drawing
verb,drilling
verb,engaging
verb,enlightening
verb,evaluating
verb,examining
verb,executing
verb,explaining
verb,exploring
verb,focusing
verb,formulating
verb,graphing
verb,grasping
verb,highlighting
verb,hypothesizing
verb,illustrating
verb,imagining
verb,improving
verb,influencing
verb,inquiring
verb,inspiring
verb,integrating
verb,interpreting
verb,interviewing
verb,investigating
verb,jotting
verb,learning
verb,listening
verb,mastering
verb,memorizing
verb,mentoring
verb,modeling
verb,noting
verb,observing
verb,organizing
verb,outlining
verb,participating
verb,perceiving
verb,planning
verb,pondering
verb,practicing
verb,presenting
verb,prioritizing
verb,processing
verb,questioning
verb,reading
verb,reasoning
verb,reflecting
verb,remembering
verb,researching
verb,reviewing
verb,rewriting
verb,scanning
verb,scheduling
verb,selecting
verb,sharing
verb,skimming
verb,solving
verb,speaking
verb,studying
verb,summarizing
verb,synthesizing
verb,teaching
verb,thinking
verb,visualizing
verb,writing
animal,alpaca
animal,antelope
animal,armadillo
animal,badger
animal,bat
animal,bear
animal,beaver
animal,bee
animal,bison
animal,boar
animal,buffalo
animal,butterfly
animal,camel
animal,canary
animal,capybara
animal,caribou
animal,cat
animal,caterpillar
animal,chameleon
animal,cheetah
animal,chicken
animal,chimpanzee
animal,chipmunk
animal,cobra
animal,cow
animal,coyote
animal,crab
animal,crane
animal,crocodile
animal,deer
animal,dingo
animal,dolphin
animal,donkey
animal,dove
animal,dragonfly
animal,duck
animal,eagle
animal,elephant
animal,elk
animal,emu
animal,falcon
animal,ferret
animal,firefly
animal,flamingo
animal,fox
animal,frog
animal,gazelle
animal,gecko
animal,giraffe
animal,goat
animal,goldfish
animal,goose
animal,gorilla
animal,grasshopper
animal,hamster
animal,hawk
animal,hedgehog
animal,heron
animal,hippo
animal,horse
animal,hummingbird
animal,iguana
animal,jackal
animal,jaguar
animal,jellyfish
animal,kangaroo
animal,koala
animal,lemur
animal,leopard
animal,lion
animal,lizard
animal,llama
animal,lobster
animal,lynx
animal,macaw
animal,manatee
animal,moose
animal,mule
animal,octopus
animal,opossum
animal,orangutan
animal,ostrich
animal,otter
animal,owl
animal,ox
animal,panda
animal,panther
animal,parrot
animal,peacock
animal,pelican
animal,penguin
animal,pigeon
animal,platypus
animal,porcupine
animal,possum
animal,rabbit
animal,raccoon
animal,ram
animal,reindeer
animal,rhino
animal,robin
animal,rooster
animal,salamander
animal,seal
animal,seahorse
animal,sheep
animal,sloth
animal,snail
animal,snake
animal,sparrow
animal,squid
animal,squirrel
animal,starfish
animal,stork
animal,swan
animal,tamarin
animal,tiger
animal,toad
animal,tortoise
animal,toucan
animal,turkey
animal,turtle
animal,walrus
animal,warthog
animal,wasp
animal,weasel
animal,whale
animal,wolf
animal,wombat
animal,woodpecker
animal,yak
animal,zebra
